"gm_gis_county","gm_chemical_name","date","year","mean_gm_result"
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2015-01-15,2015,310
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2015-03-15,2015,314
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2015-04-15,2015,360
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2015-05-15,2015,419.5
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2015-06-15,2015,313.666666666667
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2015-07-15,2015,255.478260869565
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2015-08-15,2015,335
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2015-09-15,2015,270.666666666667
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2015-11-15,2015,308.5
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2015-12-15,2015,350
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2016-02-15,2016,344
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2016-03-15,2016,318.75
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2016-04-15,2016,424
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2016-05-15,2016,285.875
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2016-06-15,2016,345.6
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2016-07-15,2016,262.208333333333
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2016-08-15,2016,403
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2016-09-15,2016,324.333333333333
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2016-10-15,2016,336
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2016-11-15,2016,298.5
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2017-01-15,2017,348.142857142857
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2017-03-15,2017,214
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2017-04-15,2017,286
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2017-06-15,2017,383.2
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2017-07-15,2017,285.296296296296
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2017-08-15,2017,370
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2017-09-15,2017,409
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2017-10-15,2017,369
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2017-11-15,2017,220
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2018-01-15,2018,405
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2018-02-15,2018,398.125
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2018-03-15,2018,345
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2018-04-15,2018,412
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2018-06-15,2018,407.5
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2018-07-15,2018,298.464285714286
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2018-08-15,2018,415.25
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2018-10-15,2018,357
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2018-12-15,2018,370.666666666667
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2019-01-15,2019,364.875
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2019-02-15,2019,300
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2019-04-15,2019,348.666666666667
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2019-05-15,2019,260.909090909091
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2019-06-15,2019,404
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2019-07-15,2019,321.833333333333
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2019-08-15,2019,377
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2019-10-15,2019,348
"ALAMEDA","Bicarbonate Alkalinity (mg/l)",2019-12-15,2019,316.5
"ALAMEDA","Nitrate as N (mg/l)",2015-01-15,2015,6.09362857142857
"ALAMEDA","Nitrate as N (mg/l)",2015-02-15,2015,6.08727
"ALAMEDA","Nitrate as N (mg/l)",2015-03-15,2015,6.94770555555556
"ALAMEDA","Nitrate as N (mg/l)",2015-04-15,2015,7.36382307692308
"ALAMEDA","Nitrate as N (mg/l)",2015-05-15,2015,7.03555333333333
"ALAMEDA","Nitrate as N (mg/l)",2015-06-15,2015,6.267752
"ALAMEDA","Nitrate as N (mg/l)",2015-07-15,2015,3.00217297297297
"ALAMEDA","Nitrate as N (mg/l)",2015-08-15,2015,5.93844761904762
"ALAMEDA","Nitrate as N (mg/l)",2015-09-15,2015,6.61195882352941
"ALAMEDA","Nitrate as N (mg/l)",2015-10-15,2015,6.79505714285714
"ALAMEDA","Nitrate as N (mg/l)",2015-11-15,2015,5.99152631578947
"ALAMEDA","Nitrate as N (mg/l)",2015-12-15,2015,7.31330769230769
"ALAMEDA","Nitrate as N (mg/l)",2016-01-15,2016,7.0658
"ALAMEDA","Nitrate as N (mg/l)",2016-02-15,2016,5.62341176470588
"ALAMEDA","Nitrate as N (mg/l)",2016-03-15,2016,6.15775
"ALAMEDA","Nitrate as N (mg/l)",2016-04-15,2016,5.7163125
"ALAMEDA","Nitrate as N (mg/l)",2016-05-15,2016,4.3246875
"ALAMEDA","Nitrate as N (mg/l)",2016-06-15,2016,4.78708333333333
"ALAMEDA","Nitrate as N (mg/l)",2016-07-15,2016,3.03479411764706
"ALAMEDA","Nitrate as N (mg/l)",2016-08-15,2016,6.92261538461538
"ALAMEDA","Nitrate as N (mg/l)",2016-09-15,2016,5.73533333333333
"ALAMEDA","Nitrate as N (mg/l)",2016-10-15,2016,6.3144
"ALAMEDA","Nitrate as N (mg/l)",2016-11-15,2016,6.67053846153846
"ALAMEDA","Nitrate as N (mg/l)",2016-12-15,2016,8.161
"ALAMEDA","Nitrate as N (mg/l)",2017-01-15,2017,5.5105
"ALAMEDA","Nitrate as N (mg/l)",2017-02-15,2017,8.5506
"ALAMEDA","Nitrate as N (mg/l)",2017-03-15,2017,7.67575
"ALAMEDA","Nitrate as N (mg/l)",2017-04-15,2017,6.31533333333333
"ALAMEDA","Nitrate as N (mg/l)",2017-05-15,2017,6.44764285714286
"ALAMEDA","Nitrate as N (mg/l)",2017-06-15,2017,5.93152941176471
"ALAMEDA","Nitrate as N (mg/l)",2017-07-15,2017,3.53451282051282
"ALAMEDA","Nitrate as N (mg/l)",2017-08-15,2017,6.88207692307692
"ALAMEDA","Nitrate as N (mg/l)",2017-09-15,2017,6.68788888888889
"ALAMEDA","Nitrate as N (mg/l)",2017-10-15,2017,5.39636842105263
"ALAMEDA","Nitrate as N (mg/l)",2017-11-15,2017,6.79833333333333
"ALAMEDA","Nitrate as N (mg/l)",2017-12-15,2017,7.61625
"ALAMEDA","Nitrate as N (mg/l)",2018-01-15,2018,7.17891666666667
"ALAMEDA","Nitrate as N (mg/l)",2018-02-15,2018,5.1279
"ALAMEDA","Nitrate as N (mg/l)",2018-03-15,2018,6.4774
"ALAMEDA","Nitrate as N (mg/l)",2018-04-15,2018,5.53052173913043
"ALAMEDA","Nitrate as N (mg/l)",2018-05-15,2018,6.8994
"ALAMEDA","Nitrate as N (mg/l)",2018-06-15,2018,5.89938461538462
