county,povall_2019,pctpovall_2019,gm_chemical_name,date,year,mean_gm_result
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2000-01-15,2000,257.666666666667
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2000-02-15,2000,228.545454545455
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2000-03-15,2000,332
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2000-04-15,2000,213.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2000-06-15,2000,247.833333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2000-07-15,2000,303.888888888889
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2000-10-15,2000,270.2
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2000-12-15,2000,281
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2001-01-15,2001,324.25
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2001-02-15,2001,235.272727272727
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2001-04-15,2001,347.333333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2001-05-15,2001,260
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2001-06-15,2001,373
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2001-07-15,2001,315.222222222222
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2001-08-15,2001,252.166666666667
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2001-09-15,2001,388
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2001-10-15,2001,266.647058823529
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2001-12-15,2001,300.2
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2002-01-15,2002,348.333333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2002-02-15,2002,239.454545454545
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2002-04-15,2002,348.666666666667
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2002-05-15,2002,323.75
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2002-06-15,2002,280.55
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2002-07-15,2002,357.75
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2002-08-15,2002,760
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2002-09-15,2002,280
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2002-10-15,2002,290.176470588235
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2003-02-15,2003,202.944444444444
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2003-04-15,2003,291.333333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2003-05-15,2003,325
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2003-06-15,2003,283.8
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2003-09-15,2003,347.4
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2003-10-15,2003,256.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2003-12-15,2003,366.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2004-02-15,2004,273.277777777778
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2004-03-15,2004,336
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2004-04-15,2004,216.766666666667
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2004-05-15,2004,363
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2004-06-15,2004,287.16
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2004-07-15,2004,306.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2004-08-15,2004,351
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2004-09-15,2004,349.857142857143
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2004-10-15,2004,272.933333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2004-11-15,2004,175
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2004-12-15,2004,342.857142857143
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2005-02-15,2005,286.615384615385
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2005-03-15,2005,366
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2005-04-15,2005,360
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2005-05-15,2005,315.776857142857
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2005-06-15,2005,389.571428571429
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2005-07-15,2005,92
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2005-09-15,2005,342.1562
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2005-10-15,2005,293.007
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2005-12-15,2005,303.175
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2006-02-15,2006,266.285714285714
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2006-03-15,2006,381
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2006-04-15,2006,265.4
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2006-05-15,2006,270
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2006-06-15,2006,273.384272727273
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2006-07-15,2006,356.333333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2006-09-15,2006,381
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2006-10-15,2006,273.764705882353
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2006-12-15,2006,372.333333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2007-02-15,2007,265.352941176471
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2007-03-15,2007,254
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2007-04-15,2007,310
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2007-05-15,2007,290
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2007-06-15,2007,346.888888888889
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2007-07-15,2007,266.063944444444
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2007-08-15,2007,209
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2007-09-15,2007,358.166666666667
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2007-11-15,2007,204.088
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2007-12-15,2007,343
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2008-01-15,2008,291.478
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2008-03-15,2008,345
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2008-06-15,2008,397.2
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2008-07-15,2008,248.080636363636
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2008-08-15,2008,294.5
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2008-09-15,2008,370.171428571429
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2008-10-15,2008,380
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2008-11-15,2008,453
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2008-12-15,2008,382.333333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2009-01-15,2009,320
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2009-06-15,2009,377.333333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2009-07-15,2009,274.55
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2009-08-15,2009,275.666666666667
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2009-09-15,2009,401.6
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2009-12-15,2009,387.333333333333
Alameda,146315,8.9,Bicarbonate Alkalinity (mg/l),2010-01-15,2010,376.5
